r_id,r_name,DT_PEA,DT_BCHA
R_r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0,0
R_r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0,0
R_r_0003,"(R,R)-butanediol dehydrogenase",0,0
R_r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,0,0
R_r_0005,"1,3-beta-glucan synthase",0,0
R_r_0006,"1,6-beta-glucan synthase",0,0
R_r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,0,0
R_r_0012,1-pyrroline-5-carboxylate dehydrogenase,0,0
R_r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",0,0
R_r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",0,0
R_r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",0,0
R_r_0016,2-aceto-2-hydroxybutanoate synthase,0,0
R_r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,0,0
R_r_0018,2-aminoadipate transaminase,0,0
R_r_0019,2-dehydropantoate 2-reductase,0,0
R_r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,0,0
R_r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",0,0
R_r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,0,0
R_r_0023,2-isopropylmalate hydratase,0,0
R_r_0024,2-isopropylmalate synthase,0,0
R_r_0025,2-isopropylmalate synthase,0,0
R_r_0026,2-keto-4-methylthiobutyrate transamination,0,0
R_r_0027,2-methylcitrate dehydratase,0,0
R_r_0028,2-methylcitrate synthase,0,0
R_r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,0,0
R_r_0030,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,0,0
R_r_0032,"3',5'-bisphosphate nucleotidase",0,0
R_r_0033,"3',5'-cyclic-nucleotide phosphodiesterase",0,0
R_r_0034,"3',5'-cyclic-nucleotide phosphodiesterase",0,0
R_r_0035,"3',5'-cyclic-nucleotide phosphodiesterase",0,0
R_r_0036,"3',5'-cyclic-nucleotide phosphodiesterase",0,0
R_r_0037,"3',5'-cyclic-nucleotide phosphodiesterase",0,0
R_r_0038,"3,4-dihydroxy-2-butanone-4-phosphate synthase",0,0
R_r_0039,3-dehydroquinate dehydratase,0,0
R_r_0040,3-dehydroquinate synthase,0,0
R_r_0041,3-dehydrosphinganine reductase,0,0
R_r_0042,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,0,0
R_r_0043,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",0,0
R_r_0044,3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase,0,0
R_r_0045,3-hydroxy-L-kynurenine hydrolase,0,0
R_r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),0,0
R_r_0058,"3-hydroxyanthranilate 3,4-dioxygenase",0,0
R_r_0059,3-isopropylmalate 3-methyltransferase,0,0
R_r_0060,3-isopropylmalate dehydratase,0,0
R_r_0061,3-isopropylmalate dehydrogenase,0,0
R_r_0062,3-methyl-2-oxobutanoate decarboxylase,0,0
R_r_0063,3-methyl-2-oxobutanoate hydroxymethyltransferase,0,0
R_r_0064,3-methyl-2-oxopentanoate decarboxylase,0,0
R_r_0065,3-phosphoshikimate 1-carboxyvinyltransferase,0,0
R_r_0066,4-amino-4-deoxychorismate synthase,0,0
R_r_0067,4-aminobenzoate synthase,0,0
R_r_0068,4-aminobutyrate transaminase,0,0
R_r_0069,4-hydroxy-L-threonine synthase,0,0
R_r_0070,4-hydroxybenzoate formation,0,0
R_r_0072,4-methyl-2-oxopentanoate decarboxylase,0,0
R_r_0073,4PP-IP5 depyrophosphorylation to IP6,0,0
R_r_0074,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",0,0
R_r_0075,5'-methylthioadenosine phosphorylase,0,0
R_r_0076,5'-nucleotidase (CMP),0,0
R_r_0077,5'-nucleotidase (IMP),0,0
R_r_0078,5'-nucleotidase (UMP),0,0
R_r_0079,5'-phosphoribosylformyl glycinamidine synthetase,0,0
R_r_0080,"5,10-methylenetetrahydrofolate reductase (NADPH)",0,0
R_r_0081,5-aminolevulinate synthase,0,0
R_r_0082,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase",0,0
R_r_0083,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase",0,0
R_r_0084,5-formethyltetrahydrofolate cyclo-ligase,0,0
R_r_0085,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,0,0
R_r_0086,5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,0,0
R_r_0087,5-methylthioribose-1-phosphate isomerase,0,0
R_r_0088,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",0,0
R_r_0089,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",0,0
R_r_0090,6-phosphofructo-2-kinase,0,0
R_r_0091,6-phosphogluconolactonase,0,0
R_r_0092,6PP-IP5 depyrophosphorylation to IP6,0,0
R_r_0093,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",0,0
R_r_0094,8-amino-7-oxononanoate synthase,0,0
R_r_0095,acetaldehyde condensation,0,0
R_r_0096,acetohydroxy acid isomeroreductase,0,0
R_r_0097,acetolactate synthase,0,0
R_r_0099,acetyl-CoA ACP transacylase,0,0
R_r_0100,acetyl-CoA C-acyltransferase (palmitoyl-CoA),0,0
R_r_0101,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA),0,0
R_r_0102,acetyl-CoA C-acyltransferase (myristoyl-CoA),0,0
R_r_0103,acetyl-CoA C-acetyltransferase,0,0
R_r_0104,acetyl-CoA C-acetyltransferase,0,0
R_r_0105,acetyl-CoA C-acyltransferase (lauroyl-CoA),0,0
R_r_0106,acetyl-CoA C-acyltransferase (octanoyl-CoA),0,0
R_r_0107,acetyl-CoA C-acyltransferase (decanoyl-CoA),0,0
R_r_0108,acetyl-Coa carboxylase,0,0
R_r_0109,"acetyl-CoA carboxylase, reaction",0,0
R_r_0111,acetyl-CoA hydrolase,0,0
R_r_0112,acetyl-CoA synthetase,0,0
R_r_0113,acetyl-CoA synthetase,0,0
R_r_0114,acetyl-CoA synthetase nuclear,0,0
R_r_0115,acetylglutamate kinase,0,0
R_r_0116,acid phosphatase (secreted),0,0
R_r_0117,aconitase,0,0
R_r_0118,acteylornithine transaminase,0,0
R_r_0119,acyl carrier protein synthase,0,0
R_r_0120,acyl-CoA oxidase (decanoyl-CoA),0,0
R_r_0121,acyl-CoA oxidase (dodecanoyl-CoA),0,0
R_r_0122,acyl-CoA oxidase (hexacosanoyl-CoA),0,0
R_r_0123,acyl-CoA oxidase (hexadecanoyl-CoA),0,0
R_r_0124,acyl-CoA oxidase (octadecanoyl-CoA),0,0
R_r_0125,acyl-CoA oxidase (tetradecanoyl-CoA),0,0
R_r_0126,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane",0,0
R_r_0127,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane",0,0
R_r_0128,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane",0,0
R_r_0129,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane",0,0
R_r_0130,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane",0,0
R_r_0131,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane",0,0
R_r_0132,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane",0,0
R_r_0133,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane",0,0
R_r_0134,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane",0,0
R_r_0135,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane",0,0
R_r_0137,"acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3",0,0
R_r_0138,adenine deaminase,0,0
R_r_0139,adenine phosphoribosyltransferase,0,0
R_r_0140,adenosine deaminase,0,0
R_r_0142,adenosine kinase,0,0
R_r_0143,adenosine monophosphate deaminase,0,0
R_r_0144,adenosylhomocysteinase,0,0
R_r_0145,adenosylmethionine decarboxylase,0,0
R_r_0146,adenosylmethionine-8-amino-7-oxononanoate transaminase,0,0
R_r_0147,adenylate cyclase,0,0
R_r_0148,adenylate kinase,0,0
R_r_0149,adenylate kinase,0,0
R_r_0150,adenylate kinase (GTP),0,0
R_r_0151,adenylosuccinate lyase (AICAR),0,0
R_r_0152,adenylosuccinate lyase,0,0
R_r_0153,adenylosuccinate synthase,0,0
R_r_0154,adenylyl-sulfate kinase,0,0
R_r_0155,"ADP-ribose 2,3-cyclic phosphodiesterase",0,0
R_r_0156,alanine glyoxylate aminotransferase,0,0
R_r_0157,alanyl-tRNA synthetase,0,0
R_r_0158,alcohol acetyltransferase (2-methylbutanol),0,0
R_r_0159,alcohol acetyltransferase (ethanol),0,0
R_r_0160,alcohol acetyltransferase (isoamyl alcohol),0,0
R_r_0161,alcohol acetyltransferase (isobutyl alcohol),0,0
R_r_0162,alcohol acetyltransferase (phenylethanol alcohol),0,0
R_r_0163,alcohol dehydrogenase (ethanol to acetaldehyde),0,0
R_r_0164,"alcohol dehydrogenase (glycerol, NADP)",0,0
R_r_0165,mitochondrial alcohol dehydrogenase,0,0
R_r_0166,"aldehyde dehydrogenase (2-methylbutanol, NAD)",0,0
R_r_0167,"aldehyde dehydrogenase (2-methylbutanol, NAD)",0,0
